ESTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;STATOBCAN;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
1;1;"Jiøí";"Domlátil";"Ing.";"";73;"CZ";"stavební inenır, pøedseda KAN";"Praha";1;40;40;"A";117;4.53;"N";0;0
1;2;"Stanislav";"Pochman";"";"";55;"CZ";"vırobní dispeèer";"Chodov";553735;40;40;"A";103;3.99;"N";0;0
1;3;"Romana";"Šimková";"Ing.";"";31;"CZ";"Pricing & Merchandising Coordinator";"Praha";1;40;40;"A";88;3.41;"N";0;0
1;4;"Jiøí";"Schmidt";"Mgr. et Mgr.";"";63;"CZ";"pedagog";"Pøíbram";539911;99;40;"A";95;3.68;"N";0;0
1;5;"Karel";"Protiva";"MUDr.";"";67;"CZ";"zubní lékaø";"Kladno";532053;40;40;"A";59;2.28;"N";0;0
1;6;"Marie";"Gottfriedová";"Mgr.";"";44;"CZ";"øeditelka základní školy";"Trmice";553697;99;40;"A";141;5.46;"N";0;0
1;7;"David";"Navara";"Mgr.";"";42;"CZ";"programátor";"Jindøichùv Hradec";545881;99;40;"A";68;2.63;"N";0;0
1;8;"Milan";"Tausch";"Ing.";"";52;"CZ";"ekonom";"Plzeò";2;40;40;"A";47;1.82;"N";0;0
1;9;"Hana";"Matìjková";"Mgr.";"";49;"CZ";"uèitelka";"Plzeò";2;99;40;"A";78;3.02;"N";0;0
1;10;"Vladimír";"Rott";"";"MSc";68;"CZ";"architekt, ekonom";"Praha";1;40;40;"A";21;.81;"N";0;0
1;11;"Alexis";"Katakalidis";"";"MSc";30;"CZ";"uèitel";"Praha";1;99;40;"A";61;2.36;"N";0;0
1;12;"Jolana";"Bradová";"Ing.";"";52;"CZ";"vodohospodáø";"Plzeò";2;99;40;"A";60;2.32;"N";0;0
1;13;"Jaroslav";"Šesták";"Prof. Ing.";"DrSc., Dr.h.c.";80;"CZ";"badatel, nositel Medaile Za zásluhy I. stupnì";"Praha";1;99;40;"A";47;1.82;"N";0;0
1;14;"Václav";"Baroch";"Mgr. Ing.";"Ph.D.";43;"CZ";"informatik a ekonom";"Praha";1;99;40;"A";40;1.55;"N";0;0
1;15;"Bohuslav";"Hamáèek";"";"";69;"CZ";"poární technik";"Praha";1;40;40;"A";32;1.24;"N";0;0
1;16;"Radek";"Hruška";"";"";43;"CZ";"programátor";"Vinaøice";534234;40;40;"A";36;1.39;"N";0;0
1;17;"Pavel";"Komrska";"Ing.";"";60;"CZ";"konzultant";"Pøíbram";539911;99;40;"A";37;1.43;"N";0;0
1;18;"Barnabáš";"Bíro";"";"";73;"CZ";"technik";"Kralupy nad Vltavou";534951;40;40;"A";22;.85;"N";0;0
1;19;"Milan";"Šurina";"";"";60;"CZ";"podnikatel";"Èeskı Brod";533271;40;40;"A";8;.31;"N";0;0
1;20;"Jiøí";"Èumpelík";"";"";73;"CZ";"exstarosta Prahy 11";"Všestary";539031;40;40;"A";38;1.47;"N";0;0
1;21;"Pavel";"Stulík";"Ing.";"";76;"CZ";"strojní inenır";"Praha";1;99;40;"A";23;.89;"N";0;0
1;22;"Jana";"Slánská";"Ing. Mgr.";"";76;"CZ";"filmaøka";"Praha";1;99;40;"A";26;1;"N";0;0
2;1;"František";"Matìjka";"";"";48;"CZ";"pøeds. strany, zakl. a øed. o.p.s. bez veø. dotací";"Most";567027;1178;1178;"A";1779;18.38;"N";0;0
2;2;"Richard";"Hartmann";"Dr. Ing.";"";50;"CZ";"èl. pøedsednictva strany, elektrotechnickı inenır";"Vìdomice";565831;1178;1178;"A";280;2.89;"N";0;0
2;3;"Karel";"Fiedler";"Ing.";"";57;"CZ";"bıvalı poslanec PÈR, ivnostník";"Hrádek";556301;1178;1178;"A";83;.85;"N";0;0
2;4;"Karel";"Leškovskı";"Mgr. Ing.";"";50;"CZ";"krizovı manaer, bezpeènostní poradce";"Praha";1;1178;1178;"A";103;1.06;"N";0;0
2;5;"Karel";"Zvára";"Ing.";"Ph.D.";43;"CZ";"ekonom, jednatel, systémovı architekt";"Tınec nad Sázavou";530841;1178;1178;"A";121;1.25;"N";0;0
2;6;"Libor";"Zeman";"Ing.";"";55;"CZ";"majitel spoleènosti";"Praha";1;1178;1178;"A";64;.66;"N";0;0
2;7;"Milan";"Loprais";"";"";43;"CZ";"obecní zastupitel, ekonomickı poradce, ivnostník";"Frenštát pod Radhoštìm";599344;99;1178;"A";296;3.05;"N";0;0
2;8;"Otto";"Èernı";"";"";70;"CZ";"polit. vìzeò, disident, sign. Charty 77, redaktor";"Postupice";530450;1178;1178;"A";121;1.25;"N";0;0
2;9;"Iveta";"Kubová";"Mgr.";"";53;"CZ";"knihovnice, vedoucí knihovny";"Brno";3;99;1178;"A";125;1.29;"N";0;0
2;10;"Roman";"Malach";"Ing.";"";42;"CZ";"ekonom, soudní znalec";"Praha";1;1178;1178;"A";68;.7;"N";0;0
2;11;"Ondøej";"Pecák";"Mgr.";"";35;"CZ";"èlen pøedsednictva strany, advokát";"Praha";1;1178;1178;"A";61;.63;"N";0;0
2;12;"Václav";"Kareš";"Ing.";"";59;"CZ";"IT specialista";"Hrusice";538248;1178;1178;"A";44;.45;"N";0;0
2;13;"Petr";"Jaroš";"Ing.";"";45;"CZ";"manaer, dopravní expert";"Èeské Budìjovice";544256;1178;1178;"A";851;8.79;"N";0;0
2;14;"David";"Matìjù";"";"";47;"CZ";"specialista informaèní bezpeènosti";"Praha";1;1178;1178;"A";58;.59;"N";0;0
2;15;"Hana";"Jirkalová";"Mgr.";"";68;"CZ";"patentová zástupkynì";"Praha";1;99;1178;"A";42;.43;"N";0;0
2;16;"Zdenìk";"Král";"Mgr.";"";28;"CZ";"ivnostník";"Chrustenice";533670;1178;1178;"A";38;.39;"N";0;0
2;17;"Martin";"Simandl";"";"";56;"CZ";"hudebník, textaø";"Praha";1;99;1178;"A";38;.39;"N";0;0
2;18;"Jiøí";"Hemerle";"";"";47;"CZ";"OSVÈ";"Nepomuk";564524;99;1178;"A";50;.51;"N";0;0
2;19;"Jaroslav";"Pekaøík";"";"";39;"CZ";"vedoucí velkoobchodu";"Ivaò";584517;1178;1178;"A";27;.27;"N";0;0
2;20;"Michal";"Nosek";"";"";44;"CZ";"správce IT";"Dìèín";562335;99;1178;"A";52;.53;"N";0;0
2;21;"Michal";"Chára";"";"";46;"CZ";"historik, odbornı poradce";"Praha";1;99;1178;"A";76;.78;"N";0;0
3;1;"Antonín";"Baudyš";"Bc.";"";46;"CZ";"konzultant, pøed. kraj. org. hnutí CESTA";"Šumperk";523704;1177;1177;"A";2527;32.02;"N";0;0
3;2;"Jan";"Dubaniè";"Bc.";"";44;"CZ";"konzultant a lektor, místopø. hnutí CESTA";"Ústí nad Labem";5;1177;1177;"A";254;3.21;"N";0;0
3;3;"Jan";"Kubín";"Ing.";"";55;"CZ";"podnikatel, místopøedseda hnutí CESTA";"Praha";1;1177;1177;"A";131;1.66;"N";0;0
3;4;"Vojtìch";"Drahoòovskı";"Bc.";"";40;"CZ";"podnikatel v zemìdìlství";"eleznice";573825;1177;1177;"A";97;1.22;"N";0;0
3;5;"Kateøina";"Vašáková";"";"";40;"CZ";"expert úèetních procesù";"Jihlava";586846;1177;1177;"A";62;.78;"N";0;0
3;6;"Lenka";"Blahová";"Bc.";"DiS.";32;"CZ";"manaerka";"Èerná Voda";533491;1177;1177;"A";95;1.2;"N";0;0
3;7;"Jaroslav";"Záhora";"Ing.";"";54;"CZ";"podnikatel, pøedseda kr. org. hnutí CESTA";"Hradec Králové";569810;1177;1177;"A";32;.4;"N";0;0
3;8;"Jiøí";"Macák";"";"";52;"CZ";"odbornı konzultant, provozní chemik";"Roztoky";539627;1177;1177;"A";16;.2;"N";0;0
3;9;"Jaroslav";"Nahodil";"Ing.";"";63;"CZ";"kouè, konzultant, pøed. kr. org. hnutí CESTA";"Brno";3;1177;1177;"A";41;.51;"N";0;0
3;10;"Denisa";"Binarová";"PhDr.";"";40;"CZ";"klinická psycholoka";"Vysoké Mıto";581186;1177;1177;"A";88;1.11;"N";0;0
3;11;"Pavel";"Sobek";"Mgr.";"";49;"CZ";"OSVÈ";"Jihlava";586846;1177;1177;"A";28;.35;"N";0;0
3;12;"Martin";"Lichtenberk";"Ing.";"";43;"CZ";"personální øeditel";"Vysoké Mıto";581186;1177;1177;"A";48;.6;"N";0;0
3;13;"Eva";"Paterová";"";"";45;"CZ";"nákupèí";"Brno";3;1177;1177;"A";12;.15;"N";0;0
3;14;"Kateøina";"Bílková";"Bc.";"";45;"CZ";"zdravotní sestra, sociální pracovnice";"Mohelnice";558079;1177;1177;"A";72;.91;"N";0;0
3;15;"Jana";"Šastná";"";"DiS.";39;"CZ";"fyzioterapeutka, instruktorka shiatsu-do";"Brno";3;1177;1177;"A";68;.86;"N";0;0
3;16;"Tomáš";"Bartoníèek";"Ing.";"Ph.D.";42;"CZ";"IT administrátor";"Dolní Roveò";574911;1177;1177;"A";29;.36;"N";0;0
