VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;SKRUTINIUM;PORADIMAND;PORADINAHR;POHLAVI
1;1;1;Eva;Kavková;Mgr.;;45;ředitelka vzdělávací a poradenské organizace, lektorka, terapeutka a koučka;Praha;1;5;5;A;716;11,81;N;0;0;0;
1;1;2;Vít;Masare;Mgr.;;34;poradce pro udržitelnou politiku ve městech, terénní sociální pracovník, spolupředseda Zelených v Praze;Praha;1;5;5;A;349;5,76;N;0;0;0;
1;1;3;Jana;Jebavá;Mgr.;;38;grafička a editorka, členka Komise životního prostředí a péče o veřejný prostor Prahy 7, spolupředsedkyně Zelených v Praze;Praha;1;5;5;A;593;9,78;N;0;0;0;
1;1;4;Ondřej;Mirovský;Mgr.;M.EM;42;radní Prahy 7 pro dopravu, bezpečnost a integraci cizinců, ekolog, podnikatel, odborník na družicové systémy pro dálkový průzkum Země;Praha;1;5;5;A;230;3,79;N;0;0;0;
1;1;5;Petra;Urbanová;Mgr.;LL.M.;30;environmentální právnička;Praha;1;5;5;A;555;9,16;N;0;0;0;
1;1;6;Martin;Rozumek;JUDr.;;46;ředitel Organizace pro pomoc uprchlíkům, právník;Praha;1;5;5;A;148;2,44;N;0;0;0;
1;1;7;Anna;Chválová;Mgr.;;44;koordinátorka integrace cizinců, referentka pro národnostní menšiny, lidskoprávní aktivistka;Praha;1;5;5;A;386;6,37;N;0;0;0;
1;1;8;Michaela;Pixová;RNDr.;Ph.D.;40;sociální geografka, vědkyně, expertka na vědy o městě a klimatickou politiku, vysokoškolská učitelka;Praha;1;99;5;A;474;7,82;N;0;0;0;
1;1;9;Pavla;Setničková Nováková;Ing.;;52;IT manažerka, fundraiserka Extinction Rebellion, dobrovolnice Hnutí DUHA pro ochranu velkých šelem;Praha;1;5;5;A;199;3,28;N;0;0;0;
1;1;10;Jana;Titlbachová;;;75;včelařka v důchodu, bývalá ředitelka galerie;Praha;1;5;5;A;164;2,7;N;0;0;0;
1;1;11;Ondřej;Rut;Mgr.;;39;místostarosta Prahy 3 pro sociální a bytovou politiku, dopravu a energetiku, sociální ekolog;Praha;1;5;5;A;179;2,95;N;0;0;0;
1;1;12;Daniel;Černý;;;23;řidič MHD a dopravní dispečer;Praha;1;5;5;A;73;1,2;N;0;0;0;
1;1;13;Barbora;Truksová;Bc.;;31;manažerka v kultuře;Praha;1;5;5;A;137;2,26;N;0;0;0;
1;1;14;Jan;Veleba;Ing.;;31;konzultant energetických úspor, zastupitel MČ Praha 15;Praha;1;5;5;A;59;0,97;N;0;0;0;
1;1;15;Barbora;Kosíková;Mgr.;;61;inovátorka vzdělávání nadaných dětí, administrativní pracovnice na Univerzitě Karlově;Praha;1;5;5;A;122;2,01;N;0;0;0;
1;1;16;Olga;Ulrichová;JUDr.;;44;právnička se zaměřením na veřejné zakázky;Praha;1;5;5;A;82;1,35;N;0;0;0;
1;1;17;Matěj;Michalk Žaloudek;Ing. arch.;;35;architekt, urbanista, zastupitel MČ Praha 3, předseda výboru pro územní rozvoj, propagátor udržitelné mobility;Praha;1;5;5;A;233;3,84;N;0;0;0;
1;1;18;Jiří;Růžička;Mgr.;;43;knihovník, editor kulturního čtrnáctideníku A2, zastupitel MČ Praha 12;Praha;1;5;5;A;64;1,05;N;0;0;0;
1;1;19;Lenka;Pipková;Mgr.;;56;advokátka;Praha;1;5;5;A;71;1,17;N;0;0;0;
1;1;20;Petr;Kučera;Mgr.;;41;výzkumník v oblasti urbanismu a sociálních vztahů v obcích i na sociálních sítích, zastupitel MČ Praha 1;Praha;1;5;5;A;71;1,17;N;0;0;0;
1;1;21;Pavla;Ducháčková Chotková;Mgr.;;41;učitelka na základní škole;Praha;1;5;5;A;72;1,18;N;0;0;0;
1;1;22;Daniel;Kunc;Ing.;;49;daňový poradce, zastupitel MČ Praha 4;Praha;1;5;5;A;34;0,56;N;0;0;0;
1;1;23;Hana;Heringová;Mgr.;;40;datová analytička;Praha;1;5;5;A;57;0,94;N;0;0;0;
1;1;24;Petr;Vilgus;MgA.;Ph.D.;47;tajemník obecního úřadu, vysokoškolský učitel fotografie, zastupitel MČ Praha 8;Praha;1;5;5;A;62;1,02;N;0;0;0;
1;1;25;Petra Johana;Poncarová;Mgr.;Ph.D.;32;výzkumná pracovnice Univerzity Karlovy, překladatelka;Praha;1;5;5;A;160;2,64;N;0;0;0;
1;1;26;Matěj;Pomahač;Mgr.;;37;zemědělský konzultant, zastupitel MČ Praha 16;Praha;1;5;5;A;45;0,74;N;0;0;0;
1;1;27;Verona;Ballay;Bc.;;39;marketingová expertka, zastupitelka MČ Praha 4;Praha;1;5;5;A;36;0,59;N;0;0;0;
1;1;28;Tomáš;Raška;Ing.;;55;OSVČ v oblasti vzdělávání dospělých, zastupitel MČ Praha 18;Praha;1;5;5;A;33;0,54;N;0;0;0;
1;1;29;Rebeka;Vadasová;Mgr.;;38;učitelka na základní škole;Praha;1;5;5;A;97;1,6;N;0;0;0;
1;1;30;Veronika;Šmausová;Mgr. BcA.;;35;učitelka na základní umělecké škole;Praha;1;5;5;A;89;1,46;N;0;0;0;
1;1;31;Lucie;Hradecká;Mgr.;;38;odbornice na rovnost s důrazem na práva žen a lidí se zdravotním znevýhodněním, státní zaměstnankyně;Semily;576964;5;5;A;234;3,86;N;0;0;0;
1;1;32;Martin;Čihák;Bc.;;24;student psychologie;Praha;1;5;5;A;76;1,25;N;0;0;0;
1;1;33;Josef;Šmída;Mgr.;;36;koordinátor projektu Náš stát, naše data, odborník na digitalizaci státní správy;Praha;1;5;5;A;43;0,7;N;0;0;0;
1;1;34;Zuzana;Pavelková;;LL.M.;30;právnička Organizace pro pomoc uprchlíkům;Ústí nad Labem;5;5;5;A;134;2,21;N;0;0;0;
1;1;35;Tomáš;Richta;Ing.;;43;programátor;Praha;1;5;5;A;22;0,36;N;0;0;0;
1;1;36;Petra;Kubálková;Mgr.;;44;manažerka v IT a marketingu, zakladatelka neziskové organizace cats2cats;Praha;1;99;5;A;88;1,45;N;0;0;0;
1;2;1;Pynelopi;Cimprichová;Ing. Mgr.;;63;podnikatelka v Praze, lékárnice, ekonomka;Ostrava;4;752;752;A;137;8,61;N;0;0;0;
1;2;2;Tomáš;Nekvapil;RNDr.;;55;manažer;Praha;1;99;752;A;72;4,52;N;0;0;0;
1;2;3;Bohumil;Vejtasa;Ing.;;71;bývalý zastupitel Prahy 1;Praha;1;176;752;A;45;2,83;N;0;0;0;
1;2;4;Martin;Vozňák;Ing.;;56;obchodní manažer;Praha;1;99;752;A;59;3,71;N;0;0;0;
1;2;5;Taťána;Ságlová;Mgr.;;58;gestor grantů;Praha;1;99;752;A;47;2,95;N;0;0;0;
1;2;6;Kristýna;Freiová;BcA.;;33;spisovatelka;Praha;1;99;752;A;100;6,28;N;0;0;0;
1;2;7;Ivan;Hlavizna;MVDr.;;56;veterinární lékař;Praha;1;99;752;A;76;4,77;N;0;0;0;
1;3;1;Jana;Bobošíková;Ing.;;57;manažerka, moderátorka;Praha;1;99;759;A;957;20,54;N;0;0;0;
1;3;2;David Tygr;Ploc;Mgr.;MBA;48;bezpečnostní expert, trenér bojových sportů;Praha;1;759;759;A;628;13,47;N;0;0;0;
1;3;3;Radek;Nováček;;;54;místopředseda VOLNÝ blok, podnikatel;Praha;1;759;759;A;315;6,76;N;0;0;0;
1;3;4;Robert;Kurka;;;48;profesionální mistr Evropy v Thajském boxu, podnikatel, trenér bojových sportů, majitel fitness, hypoteční makléř;Malíkovice;532657;759;759;A;284;6,09;N;0;0;0;
1;3;5;Renáta;Kratochvílová;;;52;poradkyně, investiční makléřka;Praha;1;759;759;A;114;2,44;N;0;0;0;
1;3;6;Andrea;Dobrodinská;;;55;historik a teoretik umění, baletka, výtvarník pedagog, arteterapeut;Praha;1;759;759;A;155;3,32;N;0;0;0;
1;3;7;Kateřina;Tandlerová;MVDr.;;51;veterinářka, majitelka veterinární kliniky;Praha;1;759;759;A;156;3,34;N;0;0;0;
1;3;8;Miloš;Mach;;;55;podnikatel, vývojář kompenzačních pomůcek pro postižené děti, finanční poradce;Praha;1;759;759;A;113;2,42;N;0;0;0;
1;3;9;Jaroslava;Richterová;Mgr.;;75;sociální pracovnice - sociálně právní ochrana dětí a rodin, právnička;Praha;1;759;759;A;122;2,61;N;0;0;0;
