VSTRANA;NAZEVCELK;ZKRATKAK8;Ideologie
1;Křesťanská a demokratická unie - Československá strana lidová;KDU-ČSL;Střed
2;Česká strana národně sociální;ČSNS;Levice
5;Strana zelených;SZ;Levice
7;Česká strana sociálně demokratická;ČSSD;Levice
11;Sdružení pro republiku-Republikánská strana Československa;SPR-RSČ;Pravice
24;Konzervativní strana;KONS;Pravice
40;Klub angažovaných nestraníků;KAN;Pravice
47;Komunistická strana Čech a Moravy;KSČM;Levice
53;Občanská demokratická strana;ODS;Pravice
55;Koruna Česká (monarchistická strana Čech, Moravy a Slezska);KČ;Pravice
74;Levice;Levice;Levice
76;Československá strana socialistická;ČSS;Levice
77;Česká pravice;ČP;Pravice
79;Právo a Spravedlnost - ANO tradiční rodině, NE korupci a kriminalitě;PaS;Pravice
83;Moravané;M;Pravice
88;NEZÁVISLÍ;NEZ;Střed
98;Pravý Blok-strana za ODVOLAT.politiků, NÍZKÉ daně, MIN.byrokracie, SPRAV.justici, REFER.a PŘÍMOU demokr. WWW.CIBULKA.NET;PB;Pravice
100;Humanistická strana;H.S.;Levice
102;Unie svobody - Demokratická unie;US-DEU;Pravice
121;NÁRODNÍ PROSPERITA;NP;Pravice
123;České hnutí za národní jednotu;ČHNJ;Pravice
129;SNK Evropští demokraté;SNK ED;Střed
132;Aktiv nezávislých občanů;ANEO;Střed
137;Strana zdravého rozumu;SZR;Pravice
138;Liberální reformní strana;LiRA;Pravice
140;Balbínova poetická strana;BPS;Pravice
144;Věci veřejné;VV;Pravice
151;Helax-Ostrava se baví;HOB;Střed
152;Národní strana;NS;Pravice
155;Blok proti islamizaci - Obrana domova;BPI;Pravice
156;Dělnická strana sociální spravedlnosti;DSSS;Pravice
166;STAROSTOVÉ A NEZÁVISLÍ;STAN;Střed
169;Folklor i Společnost;FiS;Střed
171;STRANA ROVNOST ŠANCÍ;SRŠ;Levice
172;NEZÁVISLÍ DEMOKRATÉ (předseda V.Železný);NEZ/DEM;Pravice
175;Česká strana národně socialistická;ČSNS2005;Levice
178;4 VIZE-1.Daňový systém na A4.2.Inovace+Kvalita=Kratší prac.týden.3.Rodin.dům snadno.4.Reklama pro informaci-www.4vize.cz;4 VIZE;Levice
192;HLAVU VZHŮRU - volební blok;HLVZHŮRU;Levice
199;Klíčové hnutí;KH;Střed
338;Koalice pro Českou republiku;Koal_ČR;Pravice
714;Strana svobodných občanů;Svobodní;Pravice
716;Strana soukromníků České republiky;SsČR;Pravice
717;EVROPSKÝ STŘED;ES;Střed
718;OBČANÉ.CZ;Občané;Pravice
720;Česká pirátská strana;ČPS;Střed
721;TOP 09;TOP 09;Střed
723;STOP;STOP;Levice
724;Strana Práv Občanů ZEMANOVCI;SPOZ;Levice
752;Švýcarská demokracie (www.svycarska-demokracie.cz);Švýcar. demokr.;Pravice
759;VOLNÝ blok;Volný blok;Pravice
762;OBČANÉ 2011;OBČ_2011;Pravice
764;LEV 21 - Národní socialisté;LEV 21;Levice
768;ANO 2011;ANO 2011;Střed
769;Řád národa - Vlastenecká unie;ŘN - VU;Pravice
771;politické hnutí Změna;Změna;Střed
792;Úsvit přímé demokracie Tomia Okamury;Úsvit;Pravice
794;Romská demokratická strana;RDS;Střed
1007;Hnutí Prameny;PRAMENY;Pravice
1041;Společnost proti developerské výstavbě v Prokopském údolí;SPDV;Střed
1114;Svoboda a přímá demokracie - Tomio Okamura (SPD);SPD;Pravice
1116;Národ Sobě;NáS;Pravice
1120;Česká národní fronta;ČNF;Pravice
1125;Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka;SPRRSČ M.Sládka;Pravice
1127;Dobrá volba 2016;DV 2016;Pravice
1173;Občanská demokratická aliance;ODA;Pravice
1176;REALISTÉ;REAL;Pravice
1177;CESTA ODPOVĚDNÉ SPOLEČNOSTI;CESTA;Pravice
1178;Referendum o Evropské unii;Referendum o EU;Pravice
1182;SPORTOVCI;SPORTOVCI;Střed
1183;Unie Hrdosti, Aktivity, Vlastenectví, Empatie a Lidskosti 2017;Unie H.A.V.E.L.;Pravice
1184;Radostné Česko;RČ;Pravice
1190;Moravské zemské hnutí;MZH;Střed
1227;Trikolora Svobodní Soukromníci;TSS;Pravice
1240;SENIOŘI 21;SENIOŘI;Levice
1244;Otevřeme Česko normálnímu životu;OtČe;Pravice
1245;PŘÍSAHA - občanské hnutí Roberta Šlachty;PŘÍSAHA;Střed
1250;"Urza.cz: Nechceme vaše hlasy; ke svobodě se nelze provolit… Jdeme jinou cestou – najdete ji na webu www.urza.cz";Nevolte Urza.cz;Pravice
1327;SPOLU – ODS, KDU-ČSL, TOP 09;SPOLU;Střed
1350;PIRÁTI a STAROSTOVÉ;Piráti+STAN;Střed
