KODJAZ;TYPVAZ;AKRCIS1;KODCIS1;CHODNOTA1;TEXT1;AKRCIS2;KODCIS2;CHODNOTA2;TEXT2
CS;Odvozená vazba;CISOB;43;500011;Želechovice nad Dřevnicí;KRAJ_NUTS;100;3131;Zlínský kraj
CS;Odvozená vazba;CISOB;43;500020;Petrov nad Desnou;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500046;Libhošť;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;500062;Krhová;KRAJ_NUTS;100;3131;Zlínský kraj
CS;Odvozená vazba;CISOB;43;500071;Poličná;KRAJ_NUTS;100;3131;Zlínský kraj
CS;Odvozená vazba;CISOB;43;500101;Bražec;KRAJ_NUTS;100;3051;Karlovarský kraj
CS;Odvozená vazba;CISOB;43;500127;Doupovské Hradiště;KRAJ_NUTS;100;3051;Karlovarský kraj
CS;Odvozená vazba;CISOB;43;500135;Kozlov;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500151;Luboměř pod Strážnou;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500160;Město Libavá;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500194;Polná na Šumavě;KRAJ_NUTS;100;3034;Jihočeský kraj
CS;Odvozená vazba;CISOB;43;500259;Veřovice;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;500291;Vřesina;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;500496;Olomouc;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500526;Bělkovice-Lašťany;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500623;Bílá Lhota;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500801;Blatec;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500852;Bohuňovice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500861;Bouzov;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;500879;Bystročice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;501476;Dlouhá Loučka;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;501646;Dolany;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;501751;Drahanovice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;501794;Dub nad Moravou;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;501841;Grygov;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;502146;Hlubočky;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;502235;Hněvotín;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;502405;Hnojice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;502545;Horka nad Moravou;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;502839;Cholina;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503142;Jívová;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503304;Kožušany-Tážaly;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503410;Žitovlice;KRAJ_NUTS;100;3026;Středočeský kraj
CS;Odvozená vazba;CISOB;43;503444;Litovel;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503622;Luká;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503657;Lutín;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503738;Majetín;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;503916;Kostelec;KRAJ_NUTS;100;3042;Plzeňský kraj
CS;Odvozená vazba;CISOB;43;503941;Libavá;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;504246;Mladeč;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;504301;Dřenice;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;504441;Náklo;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;504505;Náměšť na Hané;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;504785;Paseka;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;504807;Lány;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;504921;Třibřichy;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;504955;Dvakačovice;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;505005;Bítovany;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;505013;Příkazy;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505030;Dolní Bezděkov;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;505081;Senice na Hané;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505099;Červená Hora;KRAJ_NUTS;100;3085;Královéhradecký kraj
CS;Odvozená vazba;CISOB;43;505111;Slatinice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505145;Březová nad Svitavou;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;505161;Štěpánov;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505188;Šternberk;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505218;Šumvald;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505269;Těšetice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505293;Troubelice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505366;Tršice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505391;Bělá u Jevíčka;KRAJ_NUTS;100;3093;Pardubický kraj
CS;Odvozená vazba;CISOB;43;505501;Újezd;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505528;Jenčice;KRAJ_NUTS;100;3069;Ústecký kraj
CS;Odvozená vazba;CISOB;43;505587;Uničov;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505609;Velká Bystřice;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505650;Velký Týnec;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505668;Velký Újezd;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505781;Zápy;KRAJ_NUTS;100;3026;Středočeský kraj
CS;Odvozená vazba;CISOB;43;505862;Žerotín;KRAJ_NUTS;100;3123;Olomoucký kraj
CS;Odvozená vazba;CISOB;43;505927;Opava;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506192;Bohuslavice;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506214;Bolatice;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506320;Brumovice;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506451;Březová;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506460;Budišov nad Budišovkou;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506486;Boží Dar;KRAJ_NUTS;100;3051;Karlovarský kraj
CS;Odvozená vazba;CISOB;43;506494;Nové Hamry;KRAJ_NUTS;100;3051;Karlovarský kraj
CS;Odvozená vazba;CISOB;43;506621;Čichalov;KRAJ_NUTS;100;3051;Karlovarský kraj
CS;Odvozená vazba;CISOB;43;506664;Skořice;KRAJ_NUTS;100;3042;Plzeňský kraj
CS;Odvozená vazba;CISOB;43;506699;Otmarov;KRAJ_NUTS;100;3115;Jihomoravský kraj
CS;Odvozená vazba;CISOB;43;506702;Dolní Benešov;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506711;Dolní Lhota;KRAJ_NUTS;100;3140;Moravskoslezský kraj
CS;Odvozená vazba;CISOB;43;506729;Dvorce;KRAJ_NUTS;100;3107;Kraj Vysočina
CS;Odvozená vazba;CISOB;43;506737;Chvalčov;KRAJ_NUTS;100;3131;Zlínský kraj
CS;Odvozená vazba;CISOB;43;506753;Háj ve Slezsku;KRAJ_NUTS;100;3140;Moravskoslezský kraj
