OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
2;1;47;"Eva";"Valjentová";"Ing.";"";54;"referentka, personalistka";"Sokolov";560286;47;47;"A";2332;8.94;8.94206066183519;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
2;2;759;"Jan";"Teplík";"";"";66;"horník";"Planá";561134;99;759;"A";410;1.57;1.57214617124889;0;0;0;0;0;0;0;"Èeská Suverenita"
2;3;40;"Stanislav";"Pochman";"";"";54;"vırobní dispeèer";"Chodov";560383;40;40;"A";1001;3.83;3.83833735956133;0;0;0;0;0;0;0;"Klub angaovanıch nestraníkù"
2;4;166;"Miroslav";"Balatka";"Ing.";"";48;"zemìmìøiè, ivnostník, organizátor, hudebník";"Sokolov";560286;99;166;"A";7497;28.74;28.74726791671459;2;0;6902;59.47;59.47436449806118;1;0;"STAROSTOVÉ A NEZÁVISLÍ"
2;5;1114;"Petr";"Nimrichter";"";"";53;"elektrotechnik, jednatel spoleènosti";"Karlovy Vary";554961;1114;1114;"A";1553;5.95;5.95498293646228;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
2;6;768;"Renata";"Oulehlová";"";"";50;"místostarostka, zakladatelka DC Støípky a DH Motıl";"Sokolov";560286;768;768;"A";6708;25.72;25.72184516277464;2;0;4703;40.52;40.52563550193881;0;0;"ANO 2011"
2;7;769;"Josef";"Zickler";"";"";62;"OSVÈ";"Sokolov";560286;769;769;"A";1172;4.49;4.49403734805782;0;0;0;0;0;0;0;"Øád národa - Vlastenecká unie"
2;8;7;"Jan";"Picka";"Bc.";"";52;"starosta mìsta Sokolov";"Sokolov";560286;7;7;"A";4588;17.59;17.59269910656083;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
2;9;80;"Jiøí";"Korbel";"";"";49;"operátor vıroby";"Sokolov";560286;99;80;"A";818;3.13;3.13662333678438;0;0;0;0;0;0;0;"Nezávislı kandidát"
5;1;768;"Martina";"Chodacká";"MUDr.";"";54;"primáøka onkologie";"Jirkov";563099;99;768;"A";6770;21.35;21.35511955081698;2;0;4556;37.47;37.47018669298462;0;0;"ANO 2011"
5;2;80;"Petr";"Jano";"";"";58;"duchovní uèitel";"Praha";554782;99;80;"A";581;1.83;1.83269194372594;0;0;0;0;0;0;0;"Nezávislı kandidát"
5;3;1187;"Pøemysl";"Rabas";"MVDr.";"";55;"øeditel zoologické zahrady";"Blatno";562998;99;1187;"A";10626;33.51;33.51839000693962;2;0;7603;62.52;62.52981330701537;1;0;"SENÁTOR 21"
5;4;80;"Roman";"Brand";"Ing.";"MBA";54;"starosta, manaer";"Spoøice";563340;99;80;"A";2612;8.23;8.23922780897104;0;0;0;0;0;0;0;"NEZÁVISLİ KANDIDÁT"
5;5;53;"Jaroslav";"Zahrádka";"Mgr.";"";54;"øeditel gymnázia";"Chomutov";562971;53;53;"A";3515;11.08;11.08762854078607;0;0;0;0;0;0;0;"Obèanská demokratická strana"
5;6;1114;"Elvíra";"Hahnová";"Bc.";"";41;"pìstounka (dlouhodobá péèe), øeditelka obecnì pr.s";"Chomutov";562971;1114;1114;"A";1614;5.09;5.09116144091855;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
5;7;47;"Václav";"Homolka";"PaedDr.";"";63;"uèitel, senátor";"Klášterec nad Ohøí";563129;47;47;"A";3065;9.66;9.66815973755599;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
5;8;7;"Jaroslav";"Krákora";"MUDr.";"";62;"dìtskı lékaø";"Chomutov";562971;7;7;"A";1637;5.16;5.1637120686392;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
5;9;785;"Ota";"Staòo";"MUDr.";"";61;"lékaø - ortoped";"Chomutov";562971;785;785;"A";1282;4.04;4.04390890164658;0;0;0;0;0;0;0;"PRO Zdraví a Sport"
8;1;47;"Zdenìk";"Chınovskı";"";"";54;"technik";"Horní Bøíza";558885;47;47;"A";5360;12.05;12.05876397669238;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
8;2;53;"Pavel";"Karpíšek";"Ing. Mgr.";"";48;"starosta obce Vejprnice";"Vejprnice";559580;53;53;"A";12694;28.55;28.5585727462935;2;0;11120;68.38;68.38447819937273;1;0;"Obèanská demokratická strana"
8;3;7;"Milada";"Emmerová";"Doc. MUDr.";"CSc.";73;"senátorka parlamentu ÈR";"Plzeò";554791;7;7;"A";7019;15.79;15.79113140903057;2;0;5141;31.61;31.61552180062726;0;0;"Èeská strana sociálnì demokratická"
8;4;768;"Lucie";"Groene";"";"";49;"reisérka, scénáristka a novináøka";"Praha";554782;99;768;"A";6767;15.22;15.22418952057414;0;0;0;0;0;0;0;"ANO 2011"
8;5;1114;"David";"Redl";"Mgr.";"";46;"klinickı perfuziolog kardiochirurgie  FN Plzeò";"Hrádek";559822;99;1114;"A";4372;9.83;9.83599181083938;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
8;6;720;"Zdenìk";"Hess";"MUDr.";"Ph.D.";45;"lékaø";"Drmoul";554511;720;720;"A";5339;12.01;12.01151881932101;0;0;0;0;0;0;0;"Èeská pirátská strana"
8;7;1431;"Martin";"Uhlíø";"Ing.";"MBA";42;"marketingovı specialista";"Praha 10";500224;99;721;"A";2374;5.34;5.34095255236338;0;0;0;0;0;0;0;"Koalice TOP 09 a LES"
8;8;1217;"Michal";"Drabík";"";"";63;"ivnostník";"Plzeò 1";545970;99;1217;"A";524;1.17;1.17887916488559;0;0;0;0;0;0;0;"Moravská a Slezská pirátská strana"
11;1;53;"Vladislav";"Vilímec";"Ing.";"";55;"námìstek hejtmana Plzeòského kraje";"Kdynì";553786;53;53;"A";9142;21.49;21.49187765944942;2;0;9408;52.59;52.59979872525997;1;0;"Obèanská demokratická strana"
11;2;720;"Viktor";"Krutina";"Ing.";"";40;"projektant";"Domalice";553425;720;720;"A";5198;12.21;12.21994969085737;0;0;0;0;0;0;0;"Èeská pirátská strana"
11;3;7;"Jan";"Látka";"";"";64;"senátor";"Domalice";553425;7;7;"A";9136;21.47;21.47777229235724;2;0;8478;47.4;47.40020127474002;0;0;"Èeská strana sociálnì demokratická"
11;4;759;"Miroslav";"Timura";"Mgr.";"";59;"právník";"Mnichov";566292;99;759;"A";567;1.33;1.33295719021087;0;0;0;0;0;0;0;"Èeská Suverenita"
11;5;1114;"Milan";"Obdrálek";"Ing.";"";52;"specialista v kovovırobì";"Domalice";553425;1114;1114;"A";2509;5.89;5.898394339046;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
11;6;768;"Miroslav";"Vokáè";"JUDr.";"";67;"pøedseda kontrolního vıboru MÚ Domalice";"Domalice";553425;768;768;"A";6233;14.65;14.65312551425817;0;0;0;0;0;0;0;"ANO 2011"
11;7;47;"Josef";"Švarcbek";"RSDr.";"";63;"hasiè, velitel vıjezdové jednotky mìsto Planá";"Planá";561134;47;47;"A";2975;6.99;6.9939111832052;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
11;8;721;"Michal";"Janek";"MUDr.";"";69;"oèní lékaø";"Klatovy";555771;721;721;"A";6777;15.93;15.93201213061569;0;0;0;0;0;0;0;"TOP 09"
14;1;714;"Štìpán";"Tampír";"Ing.";"";41;"ekonom";"Èeské Budìjovice";544256;714;714;"A";2343;5.36;5.3685585317233;0;0;0;0;0;0;0;"Strana svobodnıch obèanù"
14;2;80;"Ladislav";"Faktor";"JUDr.";"";61;"podnikatel, právník, hudební skladatel";"Èeské Budìjovice";544256;99;80;"A";17916;41.05;41.05125678803015;2;0;12547;61.88;61.88714609845121;1;0;"Nezávislı kandidát"
14;3;785;"Blanka";"Jakubcová Sıkorová";"MUDr.";"";63;"zubní lékaøka";"Èeské Budìjovice";544256;785;785;"A";1766;4.04;4.04646793300185;0;0;0;0;0;0;0;"PRO Zdraví a Sport"
14;4;1114;"Lubomír";"Pána";"doc. PhDr. Mgr.";"Ph.D., dr. h. c.";67;"pedagog";"Èeské Budìjovice";544256;1114;1114;"A";3242;7.42;7.42845358934995;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
14;5;7;"Miloslav";"Procházka";"Ing.";"CSc.";67;"elektrotechnik";"Èeské Budìjovice";544256;7;7;"A";1753;4.01;4.0166807964622;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
14;6;596;"Jiøí";"Šesták";"";"Ph.D.";61;"senátor Parlamentu ÈR, vysokoškolskı pedagog";"Èeské Budìjovice";544256;753;166;"A";11908;27.28;27.28501707032055;2;0;7727;38.11;38.11285390154878;0;0;"SPOJENI DÙVÌROU: HOPB, STAN, KDU-ÈSL, TOP 09, ...."
14;7;47;"Richard";"Schötz";"";"";52;"zkušební technik v automobilovém prùmyslu";"Èeské Budìjovice";544256;47;47;"A";3633;8.32;8.32435900373484;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
